"Usedphone_financial","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Upper East","Male",279,1336,1401,1615,1213,677,284,149,89,113,66
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Upper East","Female",235,554,567,601,331,134,38,28,31,33,14
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Upper West","Male",158,569,867,887,682,377,174,67,37,56,58
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Rural","Upper West","Female",94,174,312,261,174,84,17,9,18,21,11
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ghana","Male",25152,127682,124895,113992,82297,48984,30322,18157,12838,11295,7316
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ghana","Female",25100,106630,92468,81180,52262,24830,12110,7285,5861,5159,2771
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Western","Male",1047,5214,6348,5942,4499,2523,1724,1121,797,573,391
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Western","Female",1020,3959,4507,4199,2776,1256,696,415,336,269,117
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Central","Male",1943,14823,13375,10073,6352,3712,2421,1410,1031,921,550
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Central","Female",1922,12371,8659,6388,3850,1900,976,494,475,378,204
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",8716,42886,46750,41521,30088,19292,12056,7326,5129,4540,2985
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",9847,40509,40309,34984,22830,11616,5843,3638,2660,2354,1338
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Volta","Male",544,2915,2972,3144,2893,1895,1323,741,593,543,365
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Volta","Female",817,3378,2318,2473,1819,994,461,262,256,224,140
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Eastern","Male",1006,5181,7060,7555,6008,3577,2339,1418,1089,1030,660
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Eastern","Female",994,4883,5501,5569,3937,1854,914,555,479,411,209
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",8958,36308,26184,21907,14463,7853,4607,2791,2050,1792,1217
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",7849,26058,17529,15167,9281,4010,1742,1041,831,733,415
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Western North","Male",193,1212,1598,1650,1119,556,312,190,120,104,60
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Western North","Female",182,887,896,641,322,104,42,38,27,41,10
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",202,1096,1520,1591,1165,582,373,237,175,128,73
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",145,915,882,822,502,152,77,57,45,25,19
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Bono","Male",797,6644,5360,5039,3509,1831,990,666,425,403,285
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Bono","Female",811,4760,3755,3077,1871,747,332,167,191,171,64
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Bono East","Male",302,1656,2554,3062,2265,1154,706,418,271,263,155
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Bono East","Female",216,1177,1488,1581,906,371,138,71,100,91,36
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Oti","Male",183,743,816,942,789,498,272,156,104,77,53
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Oti","Female",90,446,409,389,232,89,40,26,33,44,8
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Northern","Male",699,4924,5476,5995,4664,2867,1822,934,529,445,237
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Northern","Female",738,4413,3381,3045,1906,826,419,253,228,178,90
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Savannah","Male",54,213,579,863,647,372,228,121,84,68,43
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Savannah","Female",37,172,346,284,204,62,40,19,18,16,9
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","North East","Male",77,359,563,691,560,315,165,104,62,61,27
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","North East","Female",27,149,245,242,153,55,22,19,8,13,7
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Upper East","Male",193,1192,1465,2016,1724,1008,522,290,173,170,100
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Upper East","Female",161,791,948,1225,868,410,194,111,94,103,56
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Upper West","Male",238,2316,2275,2001,1552,949,462,234,206,177,115
"Used mobile phone for financial transaction","Tertiary - Bachelor's Degree","Urban","Upper West","Female",244,1762,1295,1094,805,384,174,119,80,108,49
"Mobile money only","Never attended","Rural","Ghana","Male",13960,35108,47503,57305,56842,52166,42224,33644,22464,18991,11352
"Mobile money only","Never attended","Rural","Ghana","Female",12177,35310,47638,60549,63936,61834,54046,47827,34419,28984,17810
"Mobile money only","Never attended","Rural","Western","Male",864,2850,4118,4697,4607,3643,2985,2001,1331,968,611
"Mobile money only","Never attended","Rural","Western","Female",692,2512,3710,4603,4831,4194,3670,3044,2070,1592,889
"Mobile money only","Never attended","Rural","Central","Male",446,1303,1998,2353,2766,2760,2524,2315,1671,1517,1040
"Mobile money only","Never attended","Rural","Central","Female",404,1481,2391,3478,4764,5140,5704,5426,4537,4007,2690
"Mobile money only","Never attended","Rural","Greater Accra","Male",211,697,1016,1360,1449,1298,1088,839,592,437,291
"Mobile money only","Never attended","Rural","Greater Accra","Female",161,704,1406,2007,2225,2069,1896,1533,1116,1008,603
"Mobile money only","Never attended","Rural","Volta","Male",285,882,1262,1555,1696,1562,1482,1272,904,820,533
"Mobile money only","Never attended","Rural","Volta","Female",234,958,1685,2648,3318,3555,4023,4164,3472,3052,2094
"Mobile money only","Never attended","Rural","Eastern","Male",596,1555,2323,2938,3431,3132,2808,2348,1769,1417,966
"Mobile money only","Never attended","Rural","Eastern","Female",404,1477,2532,3801,4954,5433,5322,4960,3857,3291,2279
"Mobile money only","Never attended","Rural","Ashanti","Male",930,3129,4972,6297,7089,6433,5632,4344,2943,2443,1425
"Mobile money only","Never attended","Rural","Ashanti","Female",951,3436,5655,7657,9074,8349,7780,7025,5072,4075,2622
"Mobile money only","Never attended","Rural","Western North","Male",429,1444,2244,2956,3431,3018,2515,1936,1294,1000,493
"Mobile money only","Never attended","Rural","Western North","Female",473,1605,2394,3266,3599,3307,2773,2289,1462,1054,523
"Mobile money only","Never attended","Rural","Ahafo","Male",147,539,775,1163,1411,1251,1086,884,626,459,283
"Mobile money only","Never attended","Rural","Ahafo","Female",179,614,902,1299,1447,1404,1211,1062,760,579,328
"Mobile money only","Never attended","Rural","Bono","Male",287,1016,1370,1687,2004,1886,1713,1343,1052,791,502
"Mobile money only","Never attended","Rural","Bono","Female",332,1002,1503,2049,2446,2385,2183,1969,1637,1352,776
"Mobile money only","Never attended","Rural","Bono East","Male",798,1940,2398,2931,3015,2782,2365,1825,1257,963,529
"Mobile money only","Never attended","Rural","Bono East","Female",663,1858,2357,2733,2921,2748,2199,1907,1269,1014,540
"Mobile money only","Never attended","Rural","Oti","Male",643,1368,1891,2203,2191,2042,1596,1290,858,684,399
"Mobile money only","Never attended","Rural","Oti","Female",503,1306,1587,2258,2203,2056,1719,1406,1000,742,476
"Mobile money only","Never attended","Rural","Northern","Male",2674,6165,7812,8882,7231,7346,4857,4006,2211,2276,1139
"Mobile money only","Never attended","Rural","Northern","Female",2363,6128,6844,7325,5698,5027,3127,2363,1234,1213,545
"Mobile money only","Never attended","Rural","Savannah","Male",1071,2470,3058,3571,2675,2475,1658,1314,690,710,378
"Mobile money only","Never attended","Rural","Savannah","Female",822,2187,2262,2334,1870,1594,1031,854,442,407,207
"Mobile money only","Never attended","Rural","North East","Male",1373,2583,2963,3475,2818,2504,1740,1406,794,778,413
"Mobile money only","Never attended","Rural","North East","Female",1289,2658,2807,3069,2385,2170,1381,1173,696,623,350
"Mobile money only","Never attended","Rural","Upper East","Male",1928,4142,5436,6692,6816,6208,5192,4252,2892,2480,1581
"Mobile money only","Never attended","Rural","Upper East","Female",1760,4763,6426,8217,8489,8873,7246,6248,4160,3570,2116
"Mobile money only","Never attended","Rural","Upper West","Male",1278,3025,3867,4545,4212,3826,2983,2269,1580,1248,769
"Mobile money only","Never attended","Rural","Upper West","Female",947,2621,3177,3805,3712,3530,2781,2404,1635,1405,772
"Mobile money only","Never attended","Urban","Ghana","Male",8122,24626,37143,48428,49705,47704,39858,30811,19687,17058,10142
"Mobile money only","Never attended","Urban","Ghana","Female",10441,37202,59514,79438,85869,81478,72153,60979,43212,37285,23364
"Mobile money only","Never attended","Urban","Western","Male",404,1349,2155,2574,2560,2270,1969,1398,899,747,423
"Mobile money only","Never attended","Urban","Western","Female",421,1615,2678,3574,4253,4084,3832,3223,2427,1863,1139
"Mobile money only","Never attended","Urban","Central","Male",592,1693,2671,3418,4162,3976,3843,2666,1839,1504,922
"Mobile money only","Never attended","Urban","Central","Female",565,2220,3970,5790,7445,7361,7098,6132,4594,4066,2664
"Mobile money only","Never attended","Urban","Greater Accra","Male",1306,5304,8658,10778,10492,9473,7500,5352,3391,2660,1604
"Mobile money only","Never attended","Urban","Greater Accra","Female",2190,8039,13447,18342,20673,18383,16449,13110,9269,7781,4785
"Mobile money only","Never attended","Urban","Volta","Male",174,651,912,1260,1308,1166,1016,815,517,445,306
"Mobile money only","Never attended","Urban","Volta","Female",211,822,1524,2369,2870,2922,2956,2725,2159,1960,1289
"Mobile money only","Never attended","Urban","Eastern","Male",378,1195,1769,2385,2630,2467,2154,1796,1178,1056,702
"Mobile money only","Never attended","Urban","Eastern","Female",432,1477,2695,3948,5149,5116,5189,4601,3835,3380,2287
"Mobile money only","Never attended","Urban","Ashanti","Male",1027,3467,5479,7005,7584,7292,6476,4897,3316,2754,1660
"Mobile money only","Never attended","Urban","Ashanti","Female",1424,5198,8870,12157,14072,13809,13111,11299,8135,6939,4683
"Mobile money only","Never attended","Urban","Western North","Male",201,483,701,983,937,909,729,580,396,330,185
"Mobile money only","Never attended","Urban","Western North","Female",237,818,1082,1432,1637,1540,1304,1226,785,570,320
"Mobile money only","Never attended","Urban","Ahafo","Male",113,331,523,727,822,663,651,536,350,287,157
"Mobile money only","Never attended","Urban","Ahafo","Female",135,560,843,1123,1167,1182,1114,1001,722,596,393
"Mobile money only","Never attended","Urban","Bono","Male",376,1051,1383,1739,1750,1737,1454,1312,968,902,465
"Mobile money only","Never attended","Urban","Bono","Female",440,1431,1985,2817,3057,3125,2971,2946,2299,2033,1333
"Mobile money only","Never attended","Urban","Bono East","Male",620,1641,2163,2881,2993,2705,2243,1707,1127,918,549
"Mobile money only","Never attended","Urban","Bono East","Female",742,2420,3494,4327,4341,3757,3347,2789,1920,1499,915
"Mobile money only","Never attended","Urban","Oti","Male",293,721,1037,1154,1208,1197,886,686,482,383,235
"Mobile money only","Never attended","Urban","Oti","Female",313,947,1292,1585,1639,1464,1152,977,679,583,320
"Mobile money only","Never attended","Urban","Northern","Male",1296,3530,5241,7428,7231,7911,6131,5149,2815,2933,1743
"Mobile money only","Never attended","Urban","Northern","Female",1705,6936,10570,12780,11059,10531,7261,5731,3026,3120,1678
"Mobile money only","Never attended","Urban","Savannah","Male",409,1020,1196,1713,1466,1394,1010,780,495,442,262
"Mobile money only","Never attended","Urban","Savannah","Female",526,1334,1877,2141,1773,1655,1171,874,603,518,262
"Mobile money only","Never attended","Urban","North East","Male",435,938,1228,1617,1648,1526,1133,920,501,485,259
"Mobile money only","Never attended","Urban","North East","Female",526,1344,1797,2361,1989,1879,1394,1084,701,592,327
"Mobile money only","Never attended","Urban","Upper East","Male",323,748,1192,1675,1778,1895,1704,1427,936,769,416
"Mobile money only","Never attended","Urban","Upper East","Female",341,1189,1979,2920,3009,3013,2483,2119,1308,1128,615
"Mobile money only","Never attended","Urban","Upper West","Male",175,504,835,1091,1136,1123,959,790,477,443,254
"Mobile money only","Never attended","Urban","Upper West","Female",233,852,1411,1772,1736,1657,1321,1142,750,657,354
"Mobile money only","Primary","Rural","Ghana","Male",11770,24427,24781,23372,23664,17262,14105,10167,7196,5439,3606
"Mobile money only","Primary","Rural","Ghana","Female",10502,24277,27190,27489,27506,21236,18633,14608,10176,8115,5042
"Mobile money only","Primary","Rural","Western","Male",860,2020,2201,2005,2048,1350,1187,801,545,367,233
"Mobile money only","Primary","Rural","Western","Female",810,2102,2255,2265,2244,1464,1267,919,535,380,192
"Mobile money only","Primary","Rural","Central","Male",771,1787,1803,1847,2204,1768,1620,1273,969,812,520
"Mobile money only","Primary","Rural","Central","Female",879,2097,2738,3085,3473,2944,2877,2211,1555,1252,787
"Mobile money only","Primary","Rural","Greater Accra","Male",365,1063,1161,1200,1146,898,698,434,283,195,105
"Mobile money only","Primary","Rural","Greater Accra","Female",351,1045,1502,1569,1586,1097,886,590,337,269,151
"Mobile money only","Primary","Rural","Volta","Male",595,1636,2017,2224,2231,1616,1374,1115,875,699,490
"Mobile money only","Primary","Rural","Volta","Female",642,2012,2691,3008,3166,2641,2495,2229,1701,1358,1016
"Mobile money only","Primary","Rural","Eastern","Male",1094,2587,2892,2829,3438,2794,2400,1791,1300,975,694
"Mobile money only","Primary","Rural","Eastern","Female",1027,2765,3572,4038,4772,3950,3630,2911,2130,1723,1104
"Mobile money only","Primary","Rural","Ashanti","Male",1565,3592,3761,3595,4180,3202,2660,1829,1274,1004,591
"Mobile money only","Primary","Rural","Ashanti","Female",1560,4048,5009,5335,5513,4516,3891,3041,2182,1746,978
"Mobile money only","Primary","Rural","Western North","Male",424,883,1027,1062,1162,837,731,562,404,251,164
"Mobile money only","Primary","Rural","Western North","Female",452,1095,1230,1249,1175,809,722,527,336,233,104
"Mobile money only","Primary","Rural","Ahafo","Male",283,510,523,530,612,510,401,298,202,147,126
"Mobile money only","Primary","Rural","Ahafo","Female",218,544,544,608,633,538,454,334,240,191,115
"Mobile money only","Primary","Rural","Bono","Male",451,861,756,808,861,587,440,338,247,181,127
"Mobile money only","Primary","Rural","Bono","Female",417,915,948,982,905,669,562,482,306,257,141
"Mobile money only","Primary","Rural","Bono East","Male",714,1421,1262,1117,998,681,500,368,237,196,109
"Mobile money only","Primary","Rural","Bono East","Female",613,1338,1172,1036,843,572,472,370,219,201,118
"Mobile money only","Primary","Rural","Oti","Male",420,939,883,956,869,668,538,394,278,190,131
"Mobile money only","Primary","Rural","Oti","Female",443,949,851,813,810,607,498,407,294,260,185
"Mobile money only","Primary","Rural","Northern","Male",668,1075,1141,934,698,478,282,158,81,73,34
"Mobile money only","Primary","Rural","Northern","Female",441,836,563,447,268,138,90,49,23,11,10
"Mobile money only","Primary","Rural","Savannah","Male",302,594,482,385,278,170,107,81,36,41,29
"Mobile money only","Primary","Rural","Savannah","Female",338,564,406,241,171,74,56,38,19,12,3
"Mobile money only","Primary","Rural","North East","Male",399,541,450,368,310,156,118,78,46,47,20
"Mobile money only","Primary","Rural","North East","Female",333,451,340,235,144,90,42,25,12,16,9
"Mobile money only","Primary","Rural","Upper East","Male",1869,3091,2927,2357,1821,1118,780,473,295,185,166
"Mobile money only","Primary","Rural","Upper East","Female",1237,2207,2279,1920,1349,846,550,363,220,147,76
"Mobile money only","Primary","Rural","Upper West","Male",990,1827,1495,1155,808,429,269,174,124,76,67
"Mobile money only","Primary","Rural","Upper West","Female",741,1309,1090,658,454,281,141,112,67,59,53
"Mobile money only","Primary","Urban","Ghana","Male",9661,20983,22328,24130,24860,19941,16505,11439,7502,5402,3273
"Mobile money only","Primary","Urban","Ghana","Female",10142,26409,35686,41805,45188,36129,31406,23130,15578,11882,6983
"Mobile money only","Primary","Urban","Western","Male",509,1225,1315,1404,1327,1025,879,567,391,270,138
"Mobile money only","Primary","Urban","Western","Female",540,1384,1908,2023,2317,1867,1643,1188,699,557,310
"Mobile money only","Primary","Urban","Central","Male",977,2148,2292,2319,2545,2213,1897,1430,890,697,439
"Mobile money only","Primary","Urban","Central","Female",998,2867,3811,4309,5087,3925,3667,2685,1826,1399,875
"Mobile money only","Primary","Urban","Greater Accra","Male",2039,4995,5782,6820,7096,5828,4836,3252,2061,1295,767
"Mobile money only","Primary","Urban","Greater Accra","Female",2202,6192,9933,12658,14001,11581,9802,7159,4495,3265,1709
"Mobile money only","Primary","Urban","Volta","Male",307,881,1082,1222,1319,1023,874,587,423,306,244
"Mobile money only","Primary","Urban","Volta","Female",411,1259,1893,2425,2331,1870,1720,1394,1028,829,558
"Mobile money only","Primary","Urban","Eastern","Male",838,1740,1819,1993,2234,1856,1525,1134,774,605,394
"Mobile money only","Primary","Urban","Eastern","Female",888,2382,3215,3923,4635,4023,3717,2896,2161,1797,1207
"Mobile money only","Primary","Urban","Ashanti","Male",1569,3517,3867,4305,4532,3697,3165,2225,1520,1072,624
"Mobile money only","Primary","Urban","Ashanti","Female",1720,4599,6511,7989,9248,7589,6666,4876,3397,2526,1407
"Mobile money only","Primary","Urban","Western North","Male",168,322,355,374,439,307,253,162,109,88,61
"Mobile money only","Primary","Urban","Western North","Female",229,471,573,651,614,434,366,255,178,113,63
"Mobile money only","Primary","Urban","Ahafo","Male",185,366,358,408,376,310,237,160,136,96,46
"Mobile money only","Primary","Urban","Ahafo","Female",180,482,604,627,662,479,453,360,292,243,136
"Mobile money only","Primary","Urban","Bono","Male",513,894,789,817,890,659,566,395,275,239,147
"Mobile money only","Primary","Urban","Bono","Female",510,1174,1334,1602,1638,1193,1033,809,590,451,310
"Mobile money only","Primary","Urban","Bono East","Male",708,1386,1281,1170,1159,831,633,417,292,193,111
"Mobile money only","Primary","Urban","Bono East","Female",760,1873,1948,1765,1547,1077,851,573,394,297,164
"Mobile money only","Primary","Urban","Oti","Male",225,392,395,409,377,277,246,145,120,81,57
"Mobile money only","Primary","Urban","Oti","Female",299,551,547,529,516,362,269,223,142,119,83
"Mobile money only","Primary","Urban","Northern","Male",863,1680,1508,1445,1154,894,582,422,231,225,111
"Mobile money only","Primary","Urban","Northern","Female",655,1540,1628,1465,1012,667,453,256,107,87,61
"Mobile money only","Primary","Urban","Savannah","Male",156,243,255,193,149,126,82,65,23,30,15
"Mobile money only","Primary","Urban","Savannah","Female",161,345,309,262,183,103,64,37,20,16,13
"Mobile money only","Primary","Urban","North East","Male",159,260,205,205,199,141,87,60,29,30,15
"Mobile money only","Primary","Urban","North East","Female",162,260,266,212,162,95,67,39,18,14,11
"Mobile money only","Primary","Urban","Upper East","Male",295,581,681,711,709,519,461,297,158,114,67
"Mobile money only","Primary","Urban","Upper East","Female",252,564,746,916,813,609,461,275,153,121,56
"Mobile money only","Primary","Urban","Upper West","Male",150,353,344,335,355,235,182,121,70,61,37
"Mobile money only","Primary","Urban","Upper West","Female",175,466,460,449,422,255,174,105,78,48,20
"Mobile money only","Secondary","Rural","Ghana","Male",870,2139,1829,2081,2025,5046,9301,6836,5424,4215,4036
"Mobile money only","Secondary","Rural","Ghana","Female",854,1602,1270,1100,964,2908,5653,2178,1815,1400,2077
"Mobile money only","Secondary","Rural","Western","Male",56,179,147,255,216,480,895,550,450,336,314
"Mobile money only","Secondary","Rural","Western","Female",46,121,139,134,109,224,370,129,110,90,122
"Mobile money only","Secondary","Rural","Central","Male",78,157,139,157,142,529,1100,675,617,440,492
"Mobile money only","Secondary","Rural","Central","Female",63,122,97,81,71,343,704,264,217,154,255
"Mobile money only","Secondary","Rural","Greater Accra","Male",43,80,102,227,244,405,555,516,357,242,204
"Mobile money only","Secondary","Rural","Greater Accra","Female",26,76,92,177,166,241,370,258,158,115,106
"Mobile money only","Secondary","Rural","Volta","Male",70,148,144,162,158,417,738,771,547,446,446
"Mobile money only","Secondary","Rural","Volta","Female",40,113,114,104,99,285,538,302,236,189,303
"Mobile money only","Secondary","Rural","Eastern","Male",62,140,131,186,174,722,1540,942,761,704,689
"Mobile money only","Secondary","Rural","Eastern","Female",50,97,103,117,93,482,1083,333,298,246,426
"Mobile money only","Secondary","Rural","Ashanti","Male",158,311,269,314,360,1139,2263,1404,1168,917,867
"Mobile money only","Secondary","Rural","Ashanti","Female",147,275,181,209,187,764,1534,453,432,349,505
"Mobile money only","Secondary","Rural","Western North","Male",49,174,137,126,124,301,541,374,288,230,162
"Mobile money only","Secondary","Rural","Western North","Female",52,114,82,62,39,123,242,66,58,34,55
"Mobile money only","Secondary","Rural","Ahafo","Male",17,63,42,41,52,135,274,187,174,126,127
"Mobile money only","Secondary","Rural","Ahafo","Female",23,43,24,17,17,68,153,50,51,29,56
"Mobile money only","Secondary","Rural","Bono","Male",26,67,57,75,77,224,434,400,288,201,194
"Mobile money only","Secondary","Rural","Bono","Female",22,40,32,36,40,128,253,110,75,58,79
"Mobile money only","Secondary","Rural","Bono East","Male",33,83,79,67,77,148,253,236,171,112,107
"Mobile money only","Secondary","Rural","Bono East","Female",18,67,56,20,15,62,129,41,32,27,46
"Mobile money only","Secondary","Rural","Oti","Male",49,109,74,61,86,154,276,239,223,159,120
"Mobile money only","Secondary","Rural","Oti","Female",22,64,32,22,27,74,157,67,66,48,49
"Mobile money only","Secondary","Rural","Northern","Male",82,220,141,125,109,143,104,148,75,80,67
"Mobile money only","Secondary","Rural","Northern","Female",61,97,91,34,32,27,24,14,11,14,3
"Mobile money only","Secondary","Rural","Savannah","Male",29,65,59,41,35,48,64,66,45,32,28
"Mobile money only","Secondary","Rural","Savannah","Female",18,42,24,5,9,12,14,9,7,3,5
"Mobile money only","Secondary","Rural","North East","Male",35,63,65,49,33,36,39,60,38,22,35
"Mobile money only","Secondary","Rural","North East","Female",28,56,32,13,7,9,5,3,6,5,5
"Mobile money only","Secondary","Rural","Upper East","Male",61,171,152,118,82,100,135,166,134,96,117
"Mobile money only","Secondary","Rural","Upper East","Female",213,183,120,44,32,45,55,49,32,28,32
"Mobile money only","Secondary","Rural","Upper West","Male",22,109,91,77,56,65,90,102,88,72,67
"Mobile money only","Secondary","Rural","Upper West","Female",25,92,51,25,21,21,22,30,26,11,30
"Mobile money only","Secondary","Urban","Ghana","Male",2877,4851,5062,7297,8145,16995,27258,24222,18884,13762,10976
"Mobile money only","Secondary","Urban","Ghana","Female",2925,4509,4712,6267,6257,13523,23085,15283,12566,9308,8548
"Mobile money only","Secondary","Urban","Western","Male",255,355,384,518,512,1050,1838,1363,1114,791,593
"Mobile money only","Secondary","Urban","Western","Female",186,331,314,459,427,848,1513,977,798,507,511
"Mobile money only","Secondary","Urban","Central","Male",198,405,370,467,538,1358,2246,1830,1409,1040,899
"Mobile money only","Secondary","Urban","Central","Female",330,336,345,434,412,1076,1959,1107,914,679,657
"Mobile money only","Secondary","Urban","Greater Accra","Male",825,1758,2163,3436,4007,7428,11104,10520,8237,5876,4328
"Mobile money only","Secondary","Urban","Greater Accra","Female",892,1642,1988,3035,3195,6129,9510,7621,6207,4712,3854
"Mobile money only","Secondary","Urban","Volta","Male",169,169,159,201,233,483,725,732,599,449,431
"Mobile money only","Secondary","Urban","Volta","Female",123,147,149,173,164,343,633,455,413,292,297
"Mobile money only","Secondary","Urban","Eastern","Male",290,364,301,445,506,1278,2305,1674,1437,1155,1075
"Mobile money only","Secondary","Urban","Eastern","Female",284,321,300,384,350,1165,2021,1097,953,789,774
"Mobile money only","Secondary","Urban","Ashanti","Male",358,673,704,1052,1269,3338,5866,4788,3657,2677,2217
"Mobile money only","Secondary","Urban","Ashanti","Female",482,695,690,911,1007,2713,5280,2717,2244,1614,1731
"Mobile money only","Secondary","Urban","Western North","Male",109,106,63,96,102,228,346,252,202,148,101
"Mobile money only","Secondary","Urban","Western North","Female",88,97,74,65,50,112,202,70,83,52,45
"Mobile money only","Secondary","Urban","Ahafo","Male",37,62,57,77,92,218,402,313,251,190,157
"Mobile money only","Secondary","Urban","Ahafo","Female",82,74,47,82,65,132,309,163,100,76,107
"Mobile money only","Secondary","Urban","Bono","Male",80,192,159,238,245,506,921,846,608,432,376
"Mobile money only","Secondary","Urban","Bono","Female",80,186,171,218,190,392,772,461,362,254,266
"Mobile money only","Secondary","Urban","Bono East","Male",65,135,118,133,136,293,496,488,348,235,207
"Mobile money only","Secondary","Urban","Bono East","Female",81,131,102,114,72,204,358,172,153,101,93
"Mobile money only","Secondary","Urban","Oti","Male",27,75,62,60,39,110,173,160,129,107,79
"Mobile money only","Secondary","Urban","Oti","Female",26,47,36,32,38,71,119,61,51,22,49
"Mobile money only","Secondary","Urban","Northern","Male",298,316,257,309,254,348,398,625,451,391,270
"Mobile money only","Secondary","Urban","Northern","Female",84,217,241,180,142,152,182,193,137,108,82
"Mobile money only","Secondary","Urban","Savannah","Male",24,71,93,78,49,71,55,105,73,54,43
"Mobile money only","Secondary","Urban","Savannah","Female",14,67,81,32,22,33,34,25,17,15,4
"Mobile money only","Secondary","Urban","North East","Male",26,46,47,40,32,54,78,95,65,36,45
"Mobile money only","Secondary","Urban","North East","Female",48,48,29,18,26,23,23,23,12,15,10
"Mobile money only","Secondary","Urban","Upper East","Male",100,75,78,85,83,130,158,241,178,105,88
"Mobile money only","Secondary","Urban","Upper East","Female",100,104,98,83,50,73,113,67,77,32,39
"Mobile money only","Secondary","Urban","Upper West","Male",16,49,47,62,48,102,147,190,126,76,67
"Mobile money only","Secondary","Urban","Upper West","Female",25,66,47,47,47,57,57,74,45,40,29
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ghana","Male",4215,13801,17556,18744,14066,7930,4903,2815,2233,2206,1487
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ghana","Female",2950,8400,10087,10097,6215,2647,1200,679,602,708,345
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Western","Male",318,887,1282,1318,882,534,329,198,172,138,65
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Western","Female",244,512,753,630,357,139,57,34,28,27,12
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Central","Male",528,1298,1852,2060,1663,874,607,363,263,262,163
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Central","Female",388,860,1117,1274,799,289,157,87,67,65,37
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",367,1567,1459,1411,1152,703,476,308,187,151,114
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",361,1456,1197,1156,846,425,200,97,82,114,36
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Volta","Male",291,823,1156,1418,1250,906,616,347,294,310,239
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Volta","Female",215,548,690,854,543,275,145,73,81,121,74
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Eastern","Male",419,1190,1594,1950,1530,919,612,328,348,344,245
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Eastern","Female",303,756,1178,1234,808,386,175,101,91,113,50
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",826,2943,3893,4085,2871,1515,938,562,424,438,304
"Mobile money only","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",515,1933,2418,2517,1562,616,270,166,126,143,70
